Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations"
Africa,,4/27/2020,1349.28571,
Africa,,4/28/2020,1413.57143,
Africa,,4/29/2020,1473.57143,
Africa,,4/30/2020,1578.42857,
Africa,,5/1/2020,1661.28571,
Africa,,5/2/2020,1668.85714,
Africa,,5/3/2020,1780,
Africa,,5/4/2020,1812.42857,
Africa,,5/5/2020,1994.28571,
Africa,,5/6/2020,2039.42857,
Africa,,5/7/2020,2134.57143,
Africa,,5/8/2020,2179.42857,
Africa,,5/9/2020,2439.85714,
Africa,,5/10/2020,2551.57143,
Africa,,5/11/2020,2708,
Africa,,5/12/2020,2769.71429,
Africa,,5/13/2020,2899.42857,
Africa,,5/14/2020,2979.42857,
Africa,,5/15/2020,3081.85714,
Africa,,5/16/2020,2942.28571,
Africa,,5/17/2020,2971.14286,
Africa,,5/18/2020,3060.71429,
Africa,,5/19/2020,3082.14286,
Africa,,5/20/2020,3123,
Africa,,5/21/2020,3207.42857,
Africa,,5/22/2020,3453.71429,
Africa,,5/23/2020,3611.42857,
Africa,,5/24/2020,3816.57143,
Africa,,5/25/2020,3870.42857,
Africa,,5/26/2020,3954.14286,
Africa,,5/27/2020,4045.14286,
Africa,,5/28/2020,4221,
Africa,,5/29/2020,4203.71429,
Africa,,5/30/2020,4491,
Africa,,5/31/2020,4781.57143,
Africa,,6/1/2020,5012.42857,
Africa,,6/2/2020,5245.85714,
Africa,,6/3/2020,5395.57143,
Africa,,6/4/2020,5377.57143,
Africa,,6/5/2020,5791.71429,
Africa,,6/6/2020,6008.57143,
Africa,,6/7/2020,6000.71429,
Africa,,6/8/2020,6086,
Africa,,6/9/2020,6297.85714,
Africa,,6/10/2020,6527.42857,
Africa,,6/11/2020,6778.28571,
Africa,,6/12/2020,6721,
Africa,,6/13/2020,6897.28571,
Africa,,6/14/2020,7170.85714,
Africa,,6/15/2020,7646.71429,
Africa,,6/16/2020,7815.28571,
Africa,,6/17/2020,7942.14286,
Africa,,6/18/2020,8231.28571,
Africa,,6/19/2020,8393,
Africa,,6/20/2020,8594,
Africa,,6/21/2020,8961.42857,
Africa,,6/22/2020,8991.71429,
